code,name,date,close,doji_high,doji_low,entry,stop,stop_pct,dragon,over_limit,broke,outcome,hold_days,r
000810,삼성화재,2026-03-27,443000,445500,432500,446391.0,429526.79,3.78,False,True,True,손절,1,-1.0
012450,한화에어로스페이스,2026-04-02,1417000,1478000,1383000,1480956.0,1370753.57,7.44,False,True,False,미돌파,0,0.0
012450,한화에어로스페이스,2026-04-24,1463000,1525000,1440000,1528050.0,1430217.86,6.4,False,True,False,미돌파,0,0.0
012450,한화에어로스페이스,2026-04-30,1417000,1458000,1379000,1460916.0,1370557.14,6.19,False,True,True,손절,3,-1.0
207940,삼성바이오로직스,2026-05-04,1485000,1486000,1460000,1488972.0,1454921.43,2.29,True,True,True,손절,4,-1.0
012330,현대모비스,2026-05-06,432500,441500,427000,442383.0,424273.21,4.09,False,True,True,+1R,2,1.0
000810,삼성화재,2026-05-07,490000,495500,475500,496491.0,473271.43,4.68,False,True,True,손절,1,-1.0
042660,한화오션,2026-05-11,130500,135900,129200,136171.8,128536.79,5.61,False,True,False,미돌파,0,0.0
012330,현대모비스,2026-05-20,535000,561000,515000,562122.0,506685.71,9.86,False,True,True,+1R,1,1.0
298040,효성중공업,2026-05-29,3685000,3740000,3565000,3747480.0,3522625.0,6.0,False,True,True,손절,2,-1.0
005490,POSCO홀딩스,2026-05-29,423500,424000,407500,424848.0,403283.93,5.08,True,True,True,손절,2,-1.0
055550,신한지주,2026-06-12,99600,105000,97700,105210.0,96871.79,7.93,False,True,True,시간손절,6,-0.5168972458988305
009540,HD한국조선해양,2026-06-19,419000,422000,406000,422844.0,402544.64,4.8,False,True,False,미돌파,0,0.0
012450,한화에어로스페이스,2026-07-02,1116000,1197000,1096000,1199394.0,1084058.93,9.62,False,True,False,미돌파,0,0.0
009150,삼성전기,2026-07-14,1260000,1330000,1163000,1332660.0,1131789.29,15.07,False,True,True,시간손절,6,0.06143254900984641
068270,셀트리온,2026-07-29,180000,188800,177300,189177.6,176218.93,6.85,False,True,True,시간손절,6,0.08661381733356661
032830,삼성생명,2026-07-30,264000,280000,257000,280560.0,253113.39,9.78,False,True,True,+1R,1,1.0
