code,name,date,close,entry,stop,stop_pct,body_r,vol_ratio,fall_pct,near_sup,dragon,broke,outcome,hold_days,r
039200,오스코텍,2025-06-10,28150.0,28707.3,27780.18,3.23,7.14,0.63,4.58,False,False,False,미돌파,0,0.0
009420,한올바이오파마,2025-06-10,26900.0,27154.2,25960.71,4.395,15.0,0.86,-3.86,True,False,True,손절,3,-1.068
277810,레인보우로보틱스,2025-06-10,282000.0,295590.0,277008.04,6.286,6.06,1.02,-6.62,True,False,False,미돌파,0,0.0
174900,앱클론,2025-06-10,12500.0,12875.7,12235.32,4.974,3.92,0.52,6.23,False,False,False,미돌파,0,0.0
011070,LG이노텍,2025-06-10,148100.0,149598.6,145113.21,2.998,2.86,1.43,-2.21,True,False,True,손절,3,-1.1
018290,브이티,2025-06-10,43000.0,44538.9,41406.34,7.033,3.7,1.13,-5.39,True,False,True,손절,3,-1.043
298050,HS효성첨단소재,2025-06-10,201500.0,208416.0,197250.0,5.358,5.15,1.57,-1.21,True,False,False,미돌파,0,0.0
121600,나노신소재,2025-06-10,50800.0,51703.2,49725.54,3.825,6.67,0.62,-4.53,True,False,True,손절,3,-1.078
458870,씨어스,2025-06-10,6049.0,6088.15,5865.89,3.651,1.8,0.93,4.48,False,False,True,추적청산,3,0.418
100840,SNT에너지,2025-06-10,41950.0,43336.5,40335.54,6.925,8.16,0.84,-3.33,True,False,False,미돌파,0,0.0
009520,포스코엠텍,2025-06-10,11320.0,11502.96,11164.5,2.942,3.85,0.82,-0.8,True,False,True,추적청산,3,0.398
033780,KT&G,2025-06-10,122000.0,123646.8,119792.14,3.117,6.45,1.1,-1.5,True,False,False,미돌파,0,0.0
326030,SK바이오팜,2025-06-10,92900.0,93286.2,91163.04,2.276,12.5,0.72,0.11,False,True,True,손절,3,-1.132
222080,SFA넥셀,2025-06-11,7110.0,7224.42,7021.96,2.802,13.33,0.77,0.84,True,False,True,손절,2,-1.107
011200,HMM,2025-06-11,22500.0,22595.1,21867.14,3.222,9.09,0.59,-0.9,True,True,True,추적청산,4,0.548
001680,대상,2025-06-11,22350.0,22494.9,22086.79,1.814,0.0,0.44,-3.0,True,False,True,손절,1,-1.165
192400,쿠쿠홀딩스,2025-06-11,30550.0,30611.1,29642.68,3.164,14.29,0.76,-2.0,True,True,True,추적청산,4,0.405
298380,에이비엘바이오,2025-06-11,79700.0,82464.6,77438.21,6.095,4.88,0.86,1.24,False,False,False,미돌파,0,0.0
322000,HD현대에너지솔루션,2025-06-11,50900.0,54007.8,48833.57,9.581,6.82,1.22,2.49,False,False,False,미돌파,0,0.0
030190,NICE평가정보,2025-06-12,14430.0,14709.36,14213.14,3.373,7.5,1.02,1.84,True,False,False,미돌파,0,0.0
119850,지엔씨에너지,2025-06-12,28600.0,29659.2,27732.68,6.496,3.12,0.56,3.38,True,False,True,추적청산,8,1.554
003090,대웅,2025-06-12,26700.0,27154.2,25953.46,4.422,5.56,0.61,4.64,False,False,False,미돌파,0,0.0
204320,HL만도,2025-06-12,34800.0,35120.1,34378.39,2.112,0.0,1.61,-3.73,True,False,False,미돌파,0,0.0
036530,SNT홀딩스,2025-06-12,55600.0,58917.6,53502.86,9.19,12.5,1.01,3.3,False,False,False,미돌파,0,0.0
036830,솔브레인홀딩스,2025-06-12,35850.0,36873.6,35085.89,4.848,3.45,1.14,0.28,False,False,False,미돌파,0,0.0
032190,다우데이타,2025-06-12,16970.0,17665.26,16724.11,5.328,0.0,1.31,0.99,False,False,False,미돌파,0,0.0
001680,대상,2025-06-12,22400.0,22545.0,21934.11,2.71,0.0,0.84,-1.36,True,False,False,미돌파,0,0.0
052020,에스티큐브,2025-06-12,6620.0,6753.48,6471.93,4.169,4.76,0.5,1.78,True,False,False,미돌파,0,0.0
015760,한국전력,2025-06-12,28450.0,29358.6,27627.14,5.898,10.34,1.43,4.05,False,False,False,미돌파,0,0.0
160190,하이젠알앤엠,2025-06-12,36950.0,38176.2,35225.89,7.728,3.92,2.25,3.9,False,False,True,손절,2,-1.039
