strategy,code,name,date,broke,stop_pct,r,hold
S1 도지-하락후,373220,LG에너지솔루션,2023-10-27,True,4.37,-1.069,2
S1 도지-하락후,373220,LG에너지솔루션,2024-04-08,True,5.22,-0.58,5
S1 도지-하락후,373220,LG에너지솔루션,2024-05-31,True,2.83,1.253,7
S1 도지-하락후,402340,SK스퀘어,2023-09-12,True,4.73,0.57,8
S1 도지-하락후,402340,SK스퀘어,2024-09-05,False,5.43,0.0,0
S1 도지-하락후,000660,SK하이닉스,2024-07-18,False,3.63,0.0,0
S1 도지-하락후,000660,SK하이닉스,2024-11-29,False,3.78,0.0,0
S1 도지-하락후,207940,삼성바이오로직스,2025-05-13,False,2.4,0.0,0
S1 도지-하락후,105560,KB금융,2025-02-07,True,2.27,-1.132,2
S1 도지-하락후,055550,신한지주,2023-10-04,False,2.4,0.0,0
S1 도지-하락후,055550,신한지주,2025-04-09,True,4.08,2.237,18
S1 도지-하락후,055550,신한지주,2026-06-12,True,7.93,-0.555,5
S1 도지-하락후,012330,현대모비스,2024-05-29,False,3.02,0.0,0
S1 도지-하락후,006400,삼성SDI,2023-07-31,False,3.79,0.0,0
S1 도지-하락후,006400,삼성SDI,2023-09-27,False,3.95,0.0,0
S1 도지-하락후,006400,삼성SDI,2023-10-04,True,4.18,0.875,7
S1 도지-하락후,006400,삼성SDI,2025-05-08,True,2.61,-1.115,4
S1 도지-하락후,006400,삼성SDI,2025-12-19,True,5.22,-1.058,5
S1 도지-하락후,066570,LG전자,2023-12-11,True,2.71,-0.299,5
S1 도지-하락후,000810,삼성화재,2026-03-27,True,3.78,-1.555,1
S1 도지-하락후,298040,효성중공업,2026-05-29,True,6.0,-1.05,2
S1 도지-하락후,267260,HD현대일렉트릭,2025-02-28,True,6.07,0.521,4
S1 도지-하락후,010130,고려아연,2025-03-21,False,7.43,0.0,0
S1 도지-하락후,316140,우리금융지주,2025-04-09,True,3.65,1.75,13
S1 도지-하락후,015760,한국전력,2026-06-09,False,6.58,0.0,0
S1 도지-하락후,096770,SK이노베이션,2025-12-19,False,4.23,0.0,0
S1 도지-하락후,006800,미래에셋증권,2024-08-06,True,6.12,1.807,15
S1 도지-하락후,006800,미래에셋증권,2025-11-07,True,7.51,-0.426,5
S1 도지-하락후,011200,HMM,2023-11-30,True,4.98,0.514,5
S1 도지-하락후,011200,HMM,2026-03-05,True,5.55,-1.054,2
S1 도지-하락후,051910,LG화학,2023-09-27,True,3.42,1.023,8
