code,name,market,date,score,close,entry,chase,ma20,stop,stop_pct,vol_ratio,body_r,type,pats,npat,ma20_gap,near52,ret5,pen,s_vol,s_qual,s_pos,s_52,s_stop,s_liq,rank
021240,코웨이,kr,2026-08-10,62.6,94300,94990,95465,93060,88139,7.21,1.17,5.0,잠자리,도지+MA20눌림,2,1.3,84.2,2.3,0.0,38,81,79,47,27,84,1
011780,금호석유화학,kr,2026-08-10,53.0,125100,126052,126682,118860,117745,6.59,2.94,8.6,잠자리,도지,1,5.2,77.1,10.7,0.0,97,57,15,23,34,73,2
194700,노바렉스,kr,2026-08-10,49.9,16800,17645,17733,13839,16356,7.31,3.63,2.7,표준,도지+거래량급증,2,21.4,76.4,23.1,8.1,100,81,15,21,26,23,3
079160,CJ CGV,kr,2026-08-10,47.9,5570,5611,5639,4867,5181,7.67,1.33,0.0,잠자리,도지,1,14.5,83.6,11.8,0.0,44,100,15,45,23,33,4
036460,한국가스공사,kr,2026-08-10,42.2,35700,35922,36101,33778,34702,3.4,1.17,5.3,표준,도지,1,5.7,78.1,4.1,0.0,38,64,15,27,66,48,5
001450,현대해상,kr,2026-08-10,41.4,41000,41633,41841,38148,38796,6.81,1.6,64.6,-,MA20눌림,1,7.5,92.7,9.9,0.0,53,0,15,75,31,86,6
096530,씨젠,kr,2026-08-10,39.5,30750,30962,31117,27625,28103,9.23,1.87,54.9,-,MA20눌림,1,11.3,94.6,15.2,0.2,62,0,15,82,7,55,7
020000,한섬,kr,2026-08-10,39.4,16390,16523,16606,19574,15788,4.45,1.52,1.9,표준,도지,1,-16.3,57.0,-6.1,0.0,50,87,3,0,55,25,8
025540,한국단자,kr,2026-08-10,37.0,63800,64128,64449,62360,62234,2.95,1.12,7.1,잠자리,도지,1,2.3,67.9,5.5,0.0,37,67,36,0,70,2,9
079940,가비아,kr,2026-08-10,36.9,45500,46092,46322,43640,44023,4.49,1.17,22.2,-,MA20눌림,1,4.3,95.0,-3.2,0.0,39,0,15,83,55,20,10
280360,롯데웰푸드,kr,2026-08-10,34.8,130900,131963,132623,104455,121298,8.08,3.86,83.2,-,거래량급증,1,25.3,96.0,29.7,14.7,100,0,15,86,19,33,11
139480,이마트,kr,2026-08-10,34.8,81800,82565,82978,80200,79838,3.3,1.02,9.5,표준,도지,1,2.0,60.0,4.6,0.0,33,36,40,0,66,62,12
001430,세아베스틸지주,kr,2026-08-10,34.8,43050,43387,43604,34900,41132,5.2,1.28,0.0,잠자리,도지,1,23.4,46.5,22.6,7.6,42,100,15,0,48,47,13
456040,OCI,kr,2026-08-10,31.9,77400,77755,78144,78070,73446,5.54,1.06,12.9,잠자리,도지,1,-0.9,47.4,10.1,0.0,35,28,51,0,44,52,14
044490,태웅,kr,2026-08-10,28.7,32000,32916,33080,26630,30059,8.68,1.47,4.3,표준,도지,1,20.2,52.2,19.9,4.9,48,71,15,0,13,39,15
069080,웹젠,kr,2026-08-10,26.9,11950,12345,12406,11842,11818,4.27,1.13,37.5,-,MA20눌림,1,0.9,66.4,1.1,0.0,37,0,65,0,57,8,16
214150,클래시스,kr,2026-08-10,24.3,46300,47044,47279,44012,44703,4.98,1.12,13.9,표준,도지,1,5.2,59.7,8.8,0.0,37,7,15,0,50,64,17
099320,쎄트렉아이,kr,2026-08-10,23.5,81800,82465,82877,73635,75458,8.5,1.42,7.0,잠자리,도지,1,11.1,36.5,22.3,7.3,47,68,0,0,15,42,18
009970,영원무역홀딩스,kr,2026-08-10,23.4,201500,206412,207444,195535,193668,6.17,1.01,14.0,표준,도지,1,3.1,76.9,6.0,0.0,33,6,15,23,38,27,19
005950,이수화학,kr,2026-08-10,20.7,14860,15291,15367,13210,14088,7.87,1.22,36.5,-,MA20눌림,1,12.5,82.6,22.3,7.3,40,0,15,42,21,58,20
225570,넥슨게임즈,kr,2026-08-10,19.4,9060,9218,9264,8720,8900,3.46,1.05,13.0,표준,도지,1,3.9,58.8,1.1,0.0,35,13,0,0,65,2,21
214450,파마리서치,kr,2026-08-10,19.1,410000,412824,414888,358075,372346,9.81,1.04,78.3,-,MA20눌림,1,14.5,57.5,10.2,0.0,34,0,15,0,1,100,22
120110,코오롱인더,kr,2026-08-10,17.1,58600,59519,59816,52365,53654,9.85,1.49,13.7,잠자리,도지,1,11.9,55.9,20.5,5.5,49,23,0,0,1,65,23
114190,강원에너지,kr,2026-08-10,14.5,9820,9900,9949,8045,9075,8.33,3.69,38.6,-,거래량급증,1,22.1,48.5,33.2,15.0,100,0,15,0,16,3,24
